text_long,empath_emotion,empath_rating,inital_emotion,initial_rating_of_empath_result
Frustrated at the lack of clear guidelines to follow and the lack of most peoples awareness of the p,anger,0.0,Relaxation,3
I’m deeply concerned about the affect of the Coronavirus not just on those I know but my country as ,anger,0.0,Anxiety,1
I feel fed up with waking up and doing the exact same thing everyday. I feel frustrated that there's,anger,0.0,Anxiety,6
"feel anxious about how its going to spread, how long the lockdown is going to last and the uncertain",fear,1.0,Anxiety,3
I am very worried that I might contract Coronavirus I have to care for my elderly father and I worry,fear,1.0,Fear,9
Right now i feel anxious about COVID-19 as i don't want any of my family or friends to get the virus,anger,0.0,Anxiety,8
My main moods during this time are anxiety and worry. I am worried for family members that are high ,sadness,2.0,Anxiety,6
The situation brings about a lot of uncertainty which naturally raises fear as we do not know how th,fear,3.0,Fear,7
Concerned that not all people are taking the situation seriously and that this could others at risk.,anger,0.0,Sadness,3
I feel very anxious every time I leave the house as a key worker in the telecommunications industry.,anger,0.0,Anxiety,1
I am anxious for how this will continue to affect life in the future. I am fearful that loved ones m,fear,1.0,Anxiety,8
"I am very anxious, both for myself (as I have underlying health concerns which would make contractin",anger,2.0,Anxiety,1
I'm doing as much as I can to stop the spread to my loved ones. I have remained at home and have sho,sadness,1.0,Relaxation,5
"worried about elderly and vulnerable family members. 
sad that I'm unable to visit my grandmother.
w",sadness,2.0,Desire,4
I am scared by the uncertaintly of the situation and how heavily it has affected my life already. Th,fear,2.0,Anxiety,6
I feel that we have not done enough in the UK to prepare for this situation - the NHS deserves all t,anger,0.0,Relaxation,2
I am worried about the people who are not taking the situation seriously and are putting others at r,fear,1.0,Anxiety,3
"I am very worried about this situation, about how long this will last due to myself, my mother and o",sadness,1.0,Sadness,8
"I feel fearful, as we don't know who or where it is coming from.
We cannot physically see this virus",anger,0.0,Fear,2
"Anxious and concerned for family members of whom are more at risk than myself, their health is a lar",sadness,4.0,Anxiety,6
My main concern is the long term economic impact of the virus. This is because I will be graduating ,sadness,2.0,Anxiety,7
"I feel quite anxious and afraid of what comes next.
I do not like this situation, I am rather afraid",fear,5.0,Fear,9
I worry about my work. I may lose my job because of this epidemic. I am afraid of losing my savings.,fear,5.0,Fear,9
"I feel quite anxious and afraid of what comes next.
Forced to stay at home and not go anywhere.
I wo",fear,5.0,Anxiety,9
"Personally, I am fairly calm about the corona virus situation and am not panicking about the virus. ",sadness,1.0,Relaxation,4
I feel more lonely than usual and isolated from my friends who I would usually see on an almost dail,sadness,1.0,Anxiety,3
I am angry at people who are not following the guidelines and I feel that it is putting me at risk m,fear,1.0,Anxiety,8
It's a slightly worrying situation especially to see so many people from around the world die. But p,anger,0.0,Relaxation,1
Anxious about the behaviour of others.  I'm socially distancing myself and actually going back to wo,fear,3.0,Anxiety,5
i am struggling with not having contact with people as as my mum works at a hospital i am not able t,fear,3.0,Anxiety,8
"At the moment I am feeling quite anxious about the situation. 
It seems that figures may be improvin",fear,3.0,Anxiety,7
I think the government should have put precautions in place much earlier to avoid the current situat,sadness,1.0,Anxiety,7
"As I live with my grandparents, I feel worried for them as they already have underlying health probl",anger,1.0,Anxiety,3
"Primarily, I feel anxious and worried about family members and myself. I am fearful about going outs",anger,1.0,Fear,1
It’s an anxious time. People aren’t listening to advice which will make it worse for everyone. This ,fear,1.0,Anxiety,7
"I feel anxious about what will happen to the economy, whether I will have job to go back to and if I",fear,2.0,Anxiety,8
"In this very moment I am flipping between two sides of emotions. On one side, I have cleaned my hous",fear,3.0,Anxiety,6
I feel unsettled predominantly because it’s not clear how the whole situation will eventually pan ou,anger,1.0,Relaxation,7
I feel worried and anxious about how this virus is going to come to an end. I am also thinking and w,anger,0.0,Anxiety,4
"I'm feeling anxious about my family's health, especially my older relatives who will be more at risk",sadness,4.0,Sadness,6
I feel confused by all of the online news surrounding the situation and fearful about finances if th,fear,3.0,Anxiety,6
"Worry is what I feel most.
I am no longer working so I worry about being paid, paying rent, feeding ",anger,0.0,Anxiety,1
Annoyed at the people leaving their house when there are frontline NHS staff risking their lives. An,fear,2.0,Anxiety,6
I am Concerned and apprehensive about the future. I wish people would listen to guidance so we could,anger,1.0,Sadness,5
I'm aware of how serious the situation is but the only thing I can do to help is not mix with people,sadness,2.0,Relaxation,2
"I am 6 months pregnant, so I feel worried about the impact that getting the virus would have on me a",sadness,2.0,Anxiety,6
I am anxious and curious about the situation to come. Mainly the effect on day to day life from the ,anger,0.0,Relaxation,4
its sad what is going on in the world hopefully the enconmy will recover from this. very gratefull f,sadness,2.0,Relaxation,2
I'm very angry at the Conservative government for placing the economy above the lives of the poor an,fear,1.0,Sadness,5
"I am generally anxious as it is, but currently this primarily relates to losing loved ones who are v",sadness,2.0,Sadness,8
I currently feel sad about not being able to see my mum. I go shopping for her but I can’t go in or ,sadness,2.0,Anxiety,8
I feel like people could be doing more to stop the spread of the virus. It upsets me to see people s,anger,0.0,Sadness,3
I am worried that it has not been taken seriously and may be too late. I am angry that people are st,anger,0.0,Anxiety,6
I feel very strange about it all.  One minute I am ok and can block it out of my mind but then the r,anger,0.0,Sadness,2
I feel lonely as can't meet up with friends and family and miss them. I feel fearful as worried abou,sadness,2.0,Fear,5
I was relaxed until starting this survey. My anxiety started to heighten as I though more about it. ,fear,5.0,Relaxation,4
"I feel sad that this situation has arisen and long for 'normality' to return, but hope that when nor",sadness,1.0,Sadness,8
The current situation makes me feel incredibly anxious. i have never been in a place in my life when,fear,2.0,Anxiety,9
I feel very very sorry for all the people around the world. It's a very sad situation and makes me c,sadness,1.0,Sadness,9
I am concerned that I will be unable to get the supplies I need from the supermarket and with the cu,fear,1.0,Anxiety,7
I am fed up. Mainly because I'm working from home at the minute so not seeing anyone during the week,anger,0.0,Anxiety,4
"At the moment, I feel worried about how long this situation will last. How long can we stay in a sta",anger,1.0,Anxiety,6
to be honest i cant really identify what i feel right now. i dont mind not being able to go home (i ,sadness,1.0,Anxiety,5
Whilst i feel not particularly worried about catching virus as both me and dad who live with abide b,sadness,3.0,Anxiety,1
I am currently pregnant and so this time is worrying as although it is said that mainly old and vuln,anger,1.0,Anxiety,4
I am currently working from home so know that I am in a privileged position financially but it is re,anger,0.0,Anxiety,5
Worried about my friends and family getting sick and me not being able to see them or look after the,relaxation,1.0,Anxiety,3
"Very worried about how much the situation will worsen and how to keep my loved ones safe. 

Angry ab",sadness,1.0,Anxiety,8
"I am very anxious about the whole situation.
The Chinese need to spill the beans as they are obvious",anger,0.0,Anxiety,7
I worry about my friends and family. I really miss seeing my Mum who is isolating at her house all a,anger,0.0,Anxiety,1
At first I wasn't too worried as I didn't truly believe I would be affected in any way. As the weeks,sadness,1.0,Anxiety,6
"Forced to stay at home and not go anywhere.
I very worry about my work. I may lose my job because of",fear,4.0,Anxiety,9
"I'm angry that people aren't taking the current situation seriously, it's causing death and idiots t",fear,1.0,Anger,7
"I am very angry at the moment because people are not listening to the rules, for instance do not con",anger,0.0,Anger,9
I feel that there will be a big shift in how things are done on a global scale after this pandemic. ,fear,1.0,Anxiety,5
"I am fairly worried about the virus situation, the least change in mine or my partners temperature, ",sadness,2.0,Relaxation,1
"This is such a scary situation and aside from physical isolation, it’s also lonely in regard to how ",fear,1.0,Fear,9
i feel like nothing will ever be the same again and that humans will take a long time to get back to,fear,1.0,Anxiety,8
The NHS staff are not protected enough and the guidelines in supermarkets are not being followed soc,anger,0.0,Anxiety,6
just really stressed out as I am not able to go out or anything and I am a carer for my disabled mum,relaxation,1.0,Anxiety,5
I think not enough was done at the beginning because people weren't aware of how bad it would get. M,fear,1.0,Anxiety,2
